[  1] 0.0000-0.0164 sec  60.0 Bytes  29.2 Kbits/sec
[  1] 0.0000-0.0165 sec  60.0 Bytes  29.1 Kbits/sec
[  1] 0.0000-0.0174 sec  60.0 Bytes  27.6 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.7 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.7 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.7 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.7 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.7 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.8 Kbits/sec
[  1] 0.0000-0.0167 sec  60.0 Bytes  28.7 Kbits/sec
